genre,music_id
Electronic,7081600
Experimental,6248051
Experimental,6674915
Experimental,8457389
Folk,4512
Folk,21060
Folk,65792
Folk,66614
Folk,101958
Folk,118124
Folk,162083
Folk,166951
Folk,286846
Folk,879191
Folk,948991
Folk,1241911
Folk,1550861
Folk,1562651
Folk,2186456
Folk,2209826
Folk,2451071
Folk,2474426
Folk,2603136
Folk,2884236
Folk,2943256
Folk,3028766
Folk,3049456
Folk,3173891
Folk,3196536
Folk,3197151
Folk,3285041
Folk,3592421
Folk,3619706
Folk,3626661
Folk,3701536
Folk,3726741
Folk,3778376
Folk,3833481
Folk,4113161
Folk,4217351
Folk,4220496
Folk,4263826
Folk,4329021
Folk,4369656
Folk,4433561
Folk,4442471
Folk,4590646
Folk,4766136
Folk,4771051
Folk,4814038
Folk,4821612
Folk,4833083
Folk,4844066
Folk,4845384
Folk,4898783
Folk,4929172
Folk,4992158
Folk,5008430
Folk,5021653
Folk,5087038
Folk,5143992
Folk,5157472
Folk,5164814
Folk,5217929
Folk,5254985
Folk,5282628
Folk,5299895
Folk,5368206
Folk,5399962
Folk,5410781
Folk,5478379
Folk,5534137
Folk,5590536
Folk,5645263
Folk,5667313
Folk,5672113
Folk,5678972
Folk,5682727
Folk,5847891
Folk,5926837
Folk,5934863
Folk,5980505
Folk,6001974
Folk,6017258
Folk,6092859
Folk,6109689
Folk,6132175
Folk,6222185
Folk,6268159
Folk,6300556
Folk,6303440
Folk,6340178
Folk,6357060
Folk,6376624
Folk,6380432
Folk,6412917
Folk,6433867
Folk,6471795
Folk,6489358
Folk,6496011
Folk,6500880
Folk,6558104
Folk,6559923
Folk,6583881
Folk,6813233
Folk,6851587
Folk,6856623
Folk,6862109
Folk,6910214
Hip Hop,171373
Hip Hop,3001356
Hip Hop,3480721
Hip Hop,3795071
Hip Hop,5093787
Hip Hop,5891048
Hip Hop,6107367
Hip Hop,6257744
Hip Hop,6350578
Hip Hop,6430031
Hip Hop,6519100
Hip Hop,6554653
Hip Hop,6610590
Hip Hop,6880784
Hip Hop,6883280
Hip Hop,7347764
Hip Hop,7388483
Hip Hop,7946903
Jazz,61445
Jazz,66615
Jazz,103144
Jazz,143819
Jazz,145724
Jazz,162108
Jazz,196941
Jazz,326516
Jazz,430481
Jazz,529121
Jazz,529126
Jazz,529161
Jazz,757001
Jazz,830436
Jazz,937671
Jazz,1026276
Jazz,1039041
Jazz,1352881
Jazz,1450501
Jazz,1494541
Jazz,1543021
Jazz,1556676
Jazz,2011731
Jazz,2127731
Jazz,2548591
Jazz,2773171
Jazz,2970206
Jazz,3084461
Jazz,3164576
Jazz,3293936
Jazz,3394236
Jazz,3865286
Jazz,4128096
Jazz,4128206
Jazz,4233001
Jazz,4267906
Jazz,4343751
Jazz,4380126
Jazz,4455576
Jazz,4488746
Jazz,4493676
Jazz,4548071
Jazz,4639861
Jazz,4814391
Jazz,4818726
Jazz,4834474
Jazz,4857783
Jazz,4874701
Jazz,4878940
Jazz,4883347
Jazz,4908130
Jazz,4966773
Jazz,4987921
Jazz,5052389
Jazz,5062658
Jazz,5068762
Jazz,5096471
Jazz,5226360
Jazz,5227592
Jazz,5270217
Jazz,5304302
Jazz,5344826
Jazz,5351123
Jazz,5360095
Jazz,5394147
Jazz,5493339
Jazz,5513412
Jazz,5516852
Jazz,5600079
Jazz,5642503
Jazz,5779552
Jazz,5855110
Jazz,5881295
Jazz,5887903
Jazz,5903735
Jazz,5913839
Jazz,5937706
Jazz,5963930
Jazz,6020624
Jazz,6055555
Jazz,6063815
Jazz,6103374
Jazz,6113626
Jazz,6258043
Jazz,6282295
Jazz,6357060
Jazz,6410187
Jazz,6425882
Jazz,6451997
Jazz,6466630
Jazz,6476046
Jazz,6479083
Jazz,6499352
Jazz,6529432
Jazz,6569300
Jazz,6648344
Jazz,6667818
Jazz,6711182
Jazz,6887558
Jazz,6901454
Jazz,6910214
Jazz,7026651
Jazz,7677896
Metal,143392
Metal,194482
Metal,581381
Metal,1283886
Metal,5001569
